2022/02/09 07:01:24 AM	Lulin	2022/02/05	The sky was clear all night.	2MASS_J08533619-0329321	6:57:00	2MASS_J08255285+6902016	2:16:00
2022/02/09 07:02:44 AM	Lulin	2022/02/06	The sky was clear most of the time,  but thin clouds passed between UT 18:50-18:57 and after UT 19:26.	2MASS_J08255285+6902016	8:28:00		
2022/03/07 10:02:14 AM	Lulin	2022/02/25	The sky was clear all night. 	2MASS_J11505787+4822395	3:41:00	2MASS_J14280419+1356137	4:19:00
2022/03/07 10:03:16 AM	Lulin	2022/02/26	The sky was clear all night.	2MASS_J05392474+4038437	3:57:00	2MASS_J14280419+1356137	4:38:00
2022/03/07 10:04:32 AM	Lulin	2022/02/27	The sky was clear all night.	2MASS_J11505787+4822395	3:57:00	2MASS_J14280419+1356137	4:58:00
2022/03/07 10:05:39 AM	Lulin	2022/02/28	The sky was clear all night. 	2MASS_J05392474+4038437	0:36:00	2MASS_J11505787+4822395	2:27:00
2022/03/07 10:06:47 AM	Lulin	2022/02/28	The sky was clear all night. (This is the third target this day)	2MASS_J14280419+1356137	5:30:00		
2022/03/07 10:08:01 AM	Lulin	2022/03/01	The sky was clear all night.	2MASS_J05392474+4038437	0:52:00	2MASS_J11505787+4822395	3:37:00
2022/03/07 10:08:54 AM	Lulin	2022/03/01	The sky was clear all night. (This is the third target this day)	2MASS_J14280419+1356137	3:54:00		
2022/03/07 10:09:49 AM	Lulin	2022/03/02	The sky was clear,  but cloud past after 20:30 UT. 	2MASS_J11505787+4822395	3:38:00	2MASS_J14280419+1356137	5:50:00
2022/05/17 02:23:53 PM	Lulin	2022/05/03	cloudy and rain. no observation.				
2022/05/17 02:24:10 PM	Lulin	2022/05/04	cloudy and rain. no observation.				
2022/05/17 02:25:44 PM	Lulin	2022/05/05	There was thin cloud past after UT16:30.	2MASS_J15345704-1418486	3:08:00		
2022/05/17 02:26:59 PM	Lulin	2022/05/06	The sky was cloudy all night.	2MASS_J15345704-1418486	3:34:00		
2022/05/17 02:27:24 PM	Lulin	2022/05/07	The sky was cloudy and no observation.				
2022/05/17 02:27:53 PM	Lulin	2022/05/08	cloudy and no observation.				
2022/05/17 02:29:25 PM	Lulin	2022/05/09	cloudy all night	2MASS_J15345704-1418486	3:20:00	2MASS_J15242475+2925318	1:03:00
