Timestamp	Select your telescope:	Enter the local *start of night* date:	Please briefly summarize your night:	Select the name of the first target:	For how long did you observe the first target?	Select the name of the second target:	For how long did you observe the second target?
2019/10/28 10:32:02 AM	Phillips	2019/10/27	High winds and occasional clouds through the night. No problems with the instrument. Attempted to observe two targets.	TIC 408203452	6:00:00	LSPM J0124+6819	4:00:00
2019/10/28 11:06:02 PM	Calar Alto	2019/10/28	Observed one target for the whole night	LSPM J0124+6819	9:30:00		
2019/10/29 04:23:18 AM	Calar Alto	2019/10/28	Observed one target whole night	LSPM J0124+6819	9:30:00		
2019/10/29 06:20:04 AM	Calar Alto	2019/10/26	LSPM J0124+6819; Excellent conditions all night.	LSPM J0124+6819	11:30:00		
2019/10/30 01:31:03 AM	Calar Alto	2019/10/29	cloudy, lost last ~4 hours due to rain	LSPM J0124+6819	6:30:00		
2019/10/31 10:15:04 AM	Lulin	2019/10/21	clear after UT 11:40	2MUCD 10014	7:52:25		
2019/10/31 10:16:43 AM	Lulin	2019/10/22	clear UT 12:30-16:00	LSPM J0419+4233	2:22:00		
2019/10/31 10:19:08 AM	Lulin	2019/10/23	clear before UT 16:00	2MUCD 10014	1:06:00	LSPM J0419+4233	1:25:00
2019/10/31 10:20:31 AM	Lulin	2019/10/24	cloudy and no observation				
2019/10/31 10:21:42 AM	Lulin	2019/10/25	unstable	LSPM J0419+4233	5:20:00		
2019/10/31 10:24:32 AM	Lulin	2019/10/26	cloudy UT 13:10-14:10	LSPM J0330+5413	1:13:00	LSPM J0419+4233	5:50:00
2019/10/31 10:25:50 AM	Lulin	2019/10/27	clear between UT 12:30 - 20:32 and unstable after 19:22	LSPM J0419+4233	5:55:00		
2019/10/31 10:27:38 AM	Lulin	2019/10/28	not scheduled date. only upload bias and dark from this date				
2019/10/31 07:31:33 PM	Calar Alto	2019/10/30	No observations possible due to high humidity. 	LSPM J0124+6819			
2019/10/31 07:36:51 PM	Calar Alto	2019/10/31	Unfortunately, again no observations possible due to bad weather.	LSPM J0124+6819			
2019/11/01 07:00:03 PM	Calar Alto	2019/11/01	Dome was closed due to bad weather, no observations possible	LSPM J0124+6819			
2019/11/01 07:31:26 PM	Schulman	2019/10/31	Clear skies, no problems.	LSPM J0124+6819	9:00:00		
2019/11/01 08:25:52 PM	Kuiper	2019/10/31	Mostly clear skies, some light clouds around midnight. A moth appears to have walked across the camera for 4-5 images.	LSPM J0357+4107	8:30:00		
2019/11/02 06:58:44 PM	Calar Alto	2019/11/02	No observations possible, dome was closed all night due to bad weather conditions	LSPM J0357+4107			
2019/11/02 07:55:12 PM	Phillips	2019/11/01	Mostly clear night with partial clouds coming in early in the morning.	LSPM J0124+6819	6:00:00		
2019/11/02 07:56:19 PM	Kuiper	2019/11/01	Mostly clear night with partial clouds coming in the early morning.	LSPM J0357+4107	6:30:00		
2019/11/03 06:05:12 PM	Calar Alto	2019/11/03	No observations possible due to high humidity and critical dew point				
2019/11/04 03:45:41 AM	Kuiper	2019/11/02	Patchy clouds throughout the night. Lost guiding a few times but we pushed through the night correcting the guiding when needed.	LSPM J0357+4107	8:30:00		
2019/11/04 12:12:05 PM	Schulman	2019/11/03	Clear skies, observed for most of the night after the object became observable.	LSPM J0357+4107	8:00:00		
2019/11/07 09:24:57 PM	Calar Alto	2019/11/07	Observation of one target for about an hour, after that closed due to storm	LSPM J0357+4107	1:00:00		
2019/11/08 05:58:57 PM	Kuiper	2019/11/07	Partially clouded all night, but was able to get on target after midnight.	LSPM J0357+4107	4:30:00		
2019/11/08 10:08:24 PM	Calar Alto	2019/11/08	Bad weather at beginning and end, about 7h observations of  2MASS J03571999+4107426	2MASS J03571999+4107426	7:00:00		
2019/11/09 06:23:07 PM	Kuiper	2019/11/08	Partly cloudy through the night, but the guiding was stable. Observed one target.	LSPM J0357+4107	9:00:00		
2019/11/10 05:55:12 PM	Kuiper	2019/11/09	Very cloudy at the beginning of the night, opened during a gap in the clouds. The humidity then spiked up and caused condensation on the dome so we closed.	LSPM J0357+4107	1:30:00		
2019/11/11 07:08:36 AM	Lulin	2019/11/02	clear after UT11:00. overexposure for 60sec	LSPM J0124+6819	8:50:00		
2019/11/11 07:09:04 AM	Lulin	2019/11/03	no observation due to cloudy				
2019/11/11 07:09:37 AM	Lulin	2019/11/04	no observation due to cloudy weather				
2019/11/11 07:10:38 AM	Lulin	2019/11/05	clear after UT12:00	LSPM J0357+4107	6:50:00		
2019/11/11 07:16:55 AM	Lulin	2019/11/06	thin cloud all night. 	LSPM J0124+6819	1:50:00	LSPM J0357+4107	7:03:00
2019/11/11 07:20:26 AM	Lulin	2019/11/07	clear all night	LSPM J0357+4107	7:17:00		
2019/11/12 03:48:01 AM	Kuiper	2019/11/10	Very cloudy at the beginning of the night, opened during a gap in the clouds. The humidity then spiked up in the early morning and caused condensation on the dome so we closed.	LSPM J0357+4107	7:00:00		
2019/11/29 11:43:08 AM	Lulin	2019/11/24	Sky is clear between 12:15 to 15:50 and after 16:50 UT.	2MASS J03140344+1603056	8:13:00	2MASS J03140344+1603056	
2019/11/29 11:49:58 AM	Lulin	2019/11/25	Weather is unstable for all night.	2MASS J03140344+1603056	3:16:00	2MASS J03140344+1603056	
2019/11/29 11:51:22 AM	Lulin	2019/11/26	Sky is clear between 15:20 to 16:16 and after 18:50	2MASS J03140344+1603056	6:35:00		
2019/11/29 11:52:04 AM	Lulin	2019/11/27	Sky is clear between 18:30 to 19:37 UT.	2MASS J03140344+1603056	0:40:00		
2019/11/29 11:53:02 AM	Lulin	2019/11/28	Sky is clear all night.	2MASS J03140344+1603056	9:00:00	2MASS J03140344+1603056	
2019/12/02 04:29:06 AM	VATT	2019/12/01	Observed 1 target for 7 hours until too low, then performed H0LICOW observations	2MASS J03140344+1603056	7:00:00		
2019/12/03 03:28:40 AM	VATT	2019/12/02	Observed one target for 8 hours until it was too low, then observed H0LICOW target	2MASS J03140344+1603056	8:00:00		
2019/12/04 11:44:49 AM	Bok	2019/12/03	did not observe due to clouds				
2019/12/05 04:30:21 AM	VATT	2019/12/04	Did not open: 100% humidity all night				
2019/12/06 08:09:01 AM	VATT	2019/12/03	did not observe				
2019/12/08 12:39:13 AM	VATT	2019/12/07	Overcast. Trained Kaylah McGowan				
2019/12/09 09:47:09 AM	VATT	2019/12/08	Did not open.				
2019/12/13 02:47:54 AM	Lulin	2019/12/03	Sky is clear but high thin cloud between UT10:00-10:30, 16:00-19:00.	2MASS J03140344+1603056	9:00:00		
2019/12/13 02:48:17 AM	Lulin	2019/12/04	rain. no observation.				
2019/12/13 02:48:39 AM	Lulin	2019/12/05	rain. no observation.				
2019/12/13 02:49:02 AM	Lulin	2019/12/06	rain. no observation.				
2019/12/13 03:25:38 AM	Lulin	2019/12/07	Sky is clear between UT 11:30 to 15:25 abnd after 16:30	HD 191939	0:50:00	2MASS J03140344+1603056	5:30:00
2019/12/13 05:35:01 AM	Kuiper	2019/12/12	patchy clouds then clear, observed one target for most of the night then some TESS follow-up	2MASS J03140344+1603056	6:40:00	LP 791-18	3:30:00
2019/12/15 12:10:00 PM	Lulin	2019/12/08	Sky is clear before UT 18:29.	HD 191939	0:01:00	2MASS J03140344+1603056	7:46:00
2019/12/16 05:39:07 PM	Kuiper	2019/12/13	observed two targets for several hours each	2MASS J03140344+1603056	6:00:00	LSPM J0510+2714	5:00:00
2019/12/16 05:40:24 PM	Kuiper	2019/12/14	observed one target, closed for weather at 12:30	2MASS J03140344+1603056	6:00:00		
2019/12/16 05:42:19 PM	Kuiper	2019/12/15	didn't get good data on first target, closed temporarily, then observed second target for several hours	None		LSPM J0510+2714	7:00:00
2019/12/17 05:26:06 AM	Kuiper	2019/12/16	observed one target for the full night, saw a pretty impressive flare	LSPM J0510+2714	10:00:00		
2019/12/20 08:33:36 PM	Schulman	2019/12/19	No problems. Weather seemed clear, but mildly windy.	2MASS J03140344+1603056	7:00:00		
2019/12/20 08:34:40 PM	VATT	2019/12/19	Training nigh. Got started late, but the weather was clear, no problems.	LSPM J0510+2714	2:00:00		
2019/12/21 11:35:13 PM	VATT	2019/12/20	Clear skies, observed the EDEN target after the Cosmograil observation. Conducted more training earlier in the evening.	LSPM J0510+2714	4:30:00		
2020/01/01 05:44:07 PM	Kuiper	2019/12/31	Started with clear skies, however the humidity rose sharply and frost began to set in just before closing.	LSPM J0510+2714	3:00:00		
2020/01/02 04:51:58 AM	Kuiper	2020/01/01	Intermittent clouds. Closed due to snow	LSPM J0510+2714	2:00:00		
2020/01/06 03:46:30 AM	Schulman	2020/01/02	Mostly clear night, a little cloudy in the early morning.	LSPM J0510+2714	7:00:00		
2020/01/06 03:46:58 AM	Schulman	2020/01/03	Clear night, no issues.	LSPM J0510+2714	7:00:00		
2020/01/06 03:47:18 AM	Schulman	2020/01/04	Clear night, no issues.	LSPM J0510+2714	7:00:00		
2020/01/07 03:40:51 AM	Schulman	2020/01/05	Clear night, no problems	LSPM J0510+2714	7:30:00		
2020/01/07 03:42:31 AM	Schulman	2020/01/06	Clear night, however there were some technical problems that caused the dome to become unresponsive.	LSPM J0510+2714	5:00:00		
2020/01/08 03:32:45 PM	Schulman	2020/01/07	Clear night, no issues.	LSPM J0510+2714	7:00:00		
							
2020/01/10 06:23:36 PM	Calar Alto	2020/01/10	The dome has been remained closed for the whole night due to bad weather conditions (high humidity, critical Dew point and clouds)	LSPM J0510+2714	0:00:00	none	0:00:00
2020/01/11 01:39:33 AM	VATT	2020/01/10	Started out closed for humidity until 22:00, then guidebox GUI wouldn't work (something to do with filters maybe?) Closed for good at 01:00				
2020/01/12 12:17:28 AM	Calar Alto	2020/01/11	Observed LSPM J0510+2714 for two hours and a half, then we took sunrise flats.	LSPM J0510+2714	2:30:00	LP 310-34	0:00:00
2020/01/12 02:42:19 AM	VATT	2020/01/11	Started setup for observations but multiple components crashed and not everything came back online, so we couldn't observe				
2020/01/12 10:58:56 PM	Calar Alto	2020/01/12	Good weather conditions from the very beginning of the night. The main target could have been observed till 2:30 UT. Passed that time , the altitude of the target was less then 30 deg. We then moved  to the secondary target up to sunrise.	LSPM J0510+2714	7:00:00	LP 310-34	2:00:00
2020/01/12 11:30:48 PM	Schulman	2020/01/11	Clear night, no issues.	LSPM J0510+2714	7:00:00		
2020/01/13 05:51:52 AM	VATT	2020/01/12	Dealt with weather and control issues for 3 hours but observed main target for 4 hours and secondary for 3 (secondary target too faint with bright moon even in I band, might be too faint overall)	LSPM J0510+2714	4:00:00	LSPM J0807+3213	3:00:00
2020/01/13 10:53:45 PM	Calar Alto	2020/01/13	Observed primary target for 7 hours and secondary target for 2.5 hours. Night started clear and got cloudy at the end	LSPM J0510+2714	7:30:00	LP 310-34	2:30:00
2020/01/14 06:15:11 AM	VATT	2020/01/13	Observed first target for 5 hours, then second target for 3 hours before trying TESS target transit for 2 hours, although we lost guiding in pre-OOT baseline of TESS transit	LSPM J0510+2714	5:00:00	LSPM 0807+3213, TOI 736	5:00:00
2020/01/14 12:17:20 PM	Schulman	2020/01/12	Partly cloudy early in the evening, then cleared up for the rest of the night. The telescope used to switch to the next target or shutdown when it reached its altitude limit, now it just hits an error and stops.	LSPM J0510+2714	6:30:00		
2020/01/14 12:17:53 PM	Schulman	2020/01/13	Clear night, no issues	LSPM J0510+2714	7:30:00		
2020/01/14 09:56:34 PM	Calar Alto	2020/01/14	Observed main target for eight and a half hours then closed due to heavy clouds	LSPM J0510+2714	8:30:00		
2020/01/15 10:43:10 PM	Calar Alto	2020/01/15	Observed two targets for a total of 10:30 hours under good conditions	LSPM J0510+2714	8:10:00	LP 310-34	2:25:00
2020/01/16 10:39:23 PM	Calar Alto	2020/01/16	spent seven hours observing the first target, then we had to close due to clouds before re-opening for 2h on the second target	LSPM J0510+2714	7:00:00	LP 310-34	2:00:00
2020/01/18 12:57:16 AM	Calar Alto	2020/01/17	observed one target for four hours under cloudy conditions, then closed as the clouds got thicker	LSPM J0510+2714	4:00:00		
2020/01/18 05:02:03 AM	VATT	2020/01/17	Good night, stable conditions. We obtained ~300 exposures (1 minute integrations) with the GG495 filter, targeting LP310-34, over a baseline of ~7.5 hours. Around local midnight there is a ~40 minute gap in the series due to zenith passage of target.	LP 310-34	7:00:00		
2020/01/18 01:49:43 PM	Schulman	2020/01/17	Clear night, no issues	LSPM J0510+2714	5:00:00		
2020/01/19 05:04:46 AM	VATT	2020/01/18	Good night, stable conditions ~3h + ~4h on LP310-34 in GG495. Very good seeing.  	LP310-34	7:00:00		
2020/01/20 04:10:10 AM	VATT	2020/01/19	First half of the night clear with good seeing; ~30 min gap due to zenith crossing; final 3 hours affected by cirrus. Closed early due to clouds. Single target: LP310-34.	LP310-34	6:00:00		
2020/01/20 06:51:15 PM	Calar Alto	2020/01/20	Dome remained closed due to bad weather conditions: No observations				
2020/01/21 05:55:00 PM	Calar Alto	2020/01/21	Dome remained closed due to bad weather conditions; no observations.				
2020/01/27 02:47:57 AM	Kuiper	2020/01/26	observed TOI 1468.01 for 3 hours, then closed due to weather	TIC 243185500	3:00:00		
2020/01/29 05:06:33 AM	Kuiper	2020/01/27	observed two TESS targets, clear skies but very poor seeing	TIC 243185500	4:00:00	LP 791-18	6:00:00
2020/01/29 05:09:04 AM	Kuiper	2020/01/28	Clear skies, good seeing. Observed LP 310-34 for the entire night.	LP 310-34	10:00:00		
2020/01/30 05:34:12 AM	Kuiper	2020/01/29	Lost about 3 hours at the start of the night due to humidity, then clear	LP 310-34	7:00:00		
2020/02/05 09:18:39 PM	Lulin	2020/12/24	Sky is clear all night but wind speed is high after UT15:50.	LSPM J0510+2714	6:16:00		
2020/02/05 09:19:14 PM	Lulin	2020/12/25	cloudy. no observation				
2020/02/05 09:25:14 PM	Lulin	2020/12/26	Strong wind from UT 13:30 to 15:00, bad seeing before UT 15:00, thin cloud after UT19:00	LSPM J0510+2714	8:50:00		
2020/02/05 09:30:29 PM	Lulin	2020/12/27	no observation.				
2020/02/05 09:30:51 PM	Lulin	2020/12/28	rain. no observation.				
2020/02/05 09:32:22 PM	Lulin	2020/12/29	Sky is unstable all night.	LSPM J0510+2714	0:28:00		
2020/02/05 11:05:16 PM	Lulin	2020/01/13	Sky is clear all night.	LSPM J0510+2714	6:12:00	LP 310-34	2:00:00
2020/02/05 11:07:16 PM	Lulin	2020/01/14	Sky is clear all night.	LSPM J0510+2714	6:45:00	LP 310-34	2:01:00
2020/02/05 11:08:43 PM	Lulin	2020/01/15	Sky is clear all night	LSPM J0510+2714	6:00:00	LP 310-34	2:55:00
2020/02/05 11:10:05 PM	Lulin	2020/01/16	Sky is clear all night.	LSPM J0510+2714	5:15:00	LP 310-34	2:55:00
2020/02/05 11:11:33 PM	Lulin	2020/01/17	Sky is clear before UT18:00	LSPM J0510+2714	2:17:00	LP 310-34	5:30:00
2020/02/05 11:13:18 PM	Lulin	2020/01/18	 Sky is clear before UT16:00 but the sky was unstable between UT 13:00-16:00	LSPM J0510+2714	2:00:00	LP 310-34	2:36:00
2020/02/05 11:13:53 PM	Lulin	2020/01/19	Not scheduled date. Only Bias/Dark are taken.				
2020/02/06 12:54:49 PM	Schulman	2020/02/05	Partially cloudy in the middle of the night. The telescope had an error tracking just near the Alt limit and interrupted the script, causing the telescope to not properly shut down.	LP 310-34	7:00:00		
2020/02/07 08:12:34 AM	Schulman	2020/02/06	Partly cloudy around midnight, otherwise no issues.	LP 310-34	7:00:00		
2020/02/14 05:00:08 AM	VATT	2020/02/12	lots of technical issues; did not start QSO observing until 9:30 pm, then clear weather	None	3:00:00	LSPM J1055+0808	8:00:00
2020/02/14 05:00:58 AM	VATT	2020/02/13	Some more technical issues delayed us by about an hour. Closed due to weather at 3:30am	None	3:00:00	LSPM J1055+0808	5:00:00
2020/02/16 03:27:39 AM	VATT	2020/02/14	Cloudy during COSMOGRAIL Observation, but cleared up during the EDEN observing.	LSPM J1055+0808	7:00:00		
2020/02/16 03:28:26 AM	Schulman	2020/02/14	Partly cloudy near he beginning of the night, but cleared up later.	LSPM J1055+0808	6:30:00		
2020/02/16 10:04:35 PM	Calar Alto	2020/02/16	Observed the both the main and the secondary target for most of the night.	LSPM J1055+0808	6:45:00	LP 310-34	1:30:00
2020/02/17 07:34:42 PM	VATT	2020/02/08	Observed H0LiCOW target for ~1 hour then EDEN target for 5 hours	LSPM J1055+0808	5:00:00		
2020/02/17 10:24:54 PM	Calar Alto	2020/02/17	Good weather the entire night. Observations of both primary and secondary target.	LSPM J1055+0808	8:00:00	LP 310-34	2:00:00
2020/02/18 05:46:24 AM	Kuiper	2020/02/17	Observed secondary target for 1 hour before guider failed, couldn't fix it so observed primary target without guiding rest of night	LSPM J1055+0808	6:00:00	LP 310-34	1:00:00
2020/02/18 06:05:20 AM	Kuiper	2020/02/17	Observed secondary target for 1 hour, had guider issues for 3 hours, then observed primary target for 6 hours without guiding	LSPM J1055+0808	6:00:00	LP 310-34	1:00:00
2020/02/19 05:00:47 AM	Kuiper	2020/02/18	Observed secondary target for 3 hours, TOI-736 for 3 hours, then primary target for 2 hours before clouds were too much	LSPM J1055+0808	2:00:00	LP 310-34	3:00:00
2020/02/19 09:51:27 AM	Calar Alto	2020/02/18	Could not open because of clouds and fog				
2020/02/19 10:04:24 PM	Calar Alto	2020/02/19	observed two targets for a total of 11 hours	LSPM J1055+0808	8:00:00	LP 310-34	3:00:00
2020/02/20 05:09:05 AM	Kuiper	2020/02/19	Observed secondary target for 2 hours then primary target for 8 hours	LSPM J1055+0808	8:00:00	LP 310-34	2:00:00
2020/02/20 10:56:17 PM	Lulin	2020/02/14	Sky is clear after after UT16:00	LSPM J1055+0808	7:08:00		
2020/02/20 11:17:02 PM	Lulin	2020/02/15	Sky is clear but there is cloud pass around  UT1630 - 1720.	LP 310-34	1:37:00	LSPM J1055+0808	8:43:00
2020/02/20 11:18:37 PM	Lulin	2020/02/16	cloudy and rain. no observation.				
2020/02/20 11:19:34 PM	Lulin	2020/02/17	Sky is clear before UT11:45 and after 13:30	LP 310-34	0:48:00	LSPM J1055+0808	8:07:00
2020/02/20 11:24:51 PM	Lulin	2020/02/18	Sky is clear all night.	LP 310-34	2:15:00	LSPM J1055+0808	8:26:00
2020/02/20 11:38:40 PM	Calar Alto	2020/02/20	Observed backup target for ~1.5 hour. When changing to main target sky was very cloudy and the auto guide could not locate reference star. Managed to observe main target for ~6 hours. 	LP 310-34	1:50:00	LSPM J1055+0808	6:00:00
2020/02/21 09:52:20 PM	Calar Alto	2020/02/21	Observed three targets. Backup 1,5 hour, main target in total ~1.5h and special target for ~3.5h. Weather conditions were very good all night.	LP 310-34	1:30:00	LSPM J1055+0808	1:30:00
2020/02/22 11:10:34 PM	Calar Alto	2020/02/22	Clear conditions during the whole night, observation of LP 310-34  and LSPM J1055+0808	LP 310-34	2:00:00	LSPM J1055+0808	7:00:00
2020/02/23 11:08:43 PM	Calar Alto	2020/02/23	Clear conditions during the whole night, observation of LP 310-34  and LSPM J1055+0808	LP 310-34	2:00:00	LSPM J1055+0808	7:00:00
2020/02/27 12:48:26 PM	Schulman	2020/02/26	Clear night, no issues	LSPM J1055+0808	8:00:00		
2020/03/02 02:38:37 PM	Lulin	2020/02/25	Sky is unstable all night.	LP 310-34	1:29:00	LSPM J1055+0808	8:32:00
2020/03/02 02:39:25 PM	Lulin	2020/02/26	Sky is clear after UT16:00.	LSPM J1055+0808	5:24:00		
2020/03/02 02:40:57 PM	Lulin	2020/02/27	Sky is unstable all night.	TOI_736	3:32:00	LSPM J1055+0808	4:57:00
2020/03/02 02:41:36 PM	Lulin	2020/02/28	Sky is unstable all night.	LSPM J1055+0808	8:00:00		
2020/03/02 02:41:52 PM	Lulin	2020/02/29	No observation				
2020/03/03 09:14:47 AM	Bok	2020/01/01	Too windy to open				
2020/03/03 09:15:01 AM	Bok	2020/01/02	Clouds / rain, did not open				
2020/03/05 01:14:24 PM	Schulman	2020/03/04	Clear night, no issues	LSPM J1055+0808	7:30:00		
2020/04/02 02:54:50 PM	Lulin	2020/03/23	Sky is clear after 19:00 UT, and cloud pass after 20:06 UT.	LP_271-25	0:47:00	2MUCD_11188	0:37:00
2020/04/02 02:56:27 PM	Lulin	2020/03/24	Sky is clear after 12:15 UT.	LP_315-53	0:23:00	2MUCD_11188	7:50:00
2020/04/02 02:58:30 PM	Lulin	2020/03/25	Sky is clear after 12:55 UT, cloud pass between 15:30 - 15:54, 16:30 - 17:36, 18:36 - 18:48 UT. 	2MUCD11188	7:48:00		
2020/04/02 02:59:35 PM	Lulin	2020/03/26	Telescope is operated between 12:50 - 13:38, 15:03 - 16:00, and after 19:30 UT. Clouds pass almost all night.	2MUCD_11188	8:01:00		
2020/04/02 03:00:46 PM	Lulin	2020/03/27	Sky is clear between 14:00 to 17:44 UT, and cloud pass after 17：03 UT.	2MUCD_11188	2:56:00		
2020/04/02 03:02:23 PM	Lulin	2020/03/28	Sky is clear all night.	LP_315-53	2:41:00	2MUCD_11188	6:45:00
2020/04/02 03:03:27 PM	Lulin	2020/03/29	Sky is clear all night.	LP_315-53	2:19:00	2MUCD_11188	6:28:00
2020/04/02 03:04:22 PM	Lulin	2020/03/30	Sky is clear UT13:40-14:36 but cloudy.	2MUCD_11188	0:46:00		
2020/04/02 03:04:41 PM	Lulin	2020/03/31	Cloudy and raining. No observation.				
2020/04/02 03:06:16 PM	Lulin	2020/04/01	Cloudy and raining. No observation.				
2020/04/03 08:05:34 AM	Schulman	2020/04/02	Clear night, no issues.	2MUCD 11188	8:00:00		
2020/04/27 11:04:41 AM	Lulin	2020/04/16	"Sky is clear all night.
"	2MUCD 10014	8:22:00		
2020/04/27 11:07:10 AM	Lulin	2020/04/17	Sky is clear clear before UT15:45 and sometimes cloud pass after midnight.	2MUCD 10014	8:15:00		
2020/04/27 11:08:53 AM	Lulin	2020/04/18	No observation.				
2020/04/27 11:09:32 AM	Lulin	2020/04/19	"Cloud frequently passes all night.
"	2MUCD 10014	8:20:00		
2020/04/27 11:10:25 AM	Lulin	2020/04/20	Sky is clear between 18:10 to 18:47 UT and after 19:36 UT. Cloud passes between 18:47 to 19:36 UT.	2MUCD 10014	2:11:00		
2020/04/27 11:11:07 AM	Lulin	2020/04/21	Observation is executed before 15:11, 15:47 to 16:17, 16:49 to 18:17 UT. Cloud passes almost all night.	2MUCD 10014	5:13:00		
2020/04/27 11:11:30 AM	Lulin	2020/04/22	"Cloudy and rain. No observaiton.
"				
2020/04/27 11:12:29 AM	Lulin	2020/04/23	"Cloudy and rain. No observation.
"				
2020/04/27 11:12:42 AM	Lulin	2020/04/24	"Cloudy and rain. No observation.
"				
2020/04/27 11:12:53 AM	Lulin	2020/04/25	"Cloudy and rain. No observation.
"				
2020/04/29 02:15:53 PM	Schulman	2020/04/28	The guider was not working, weather seemed fine.	LP 315-53	5:00:00		
2020/05/06 11:37:57 AM	Schulman	2020/05/05	Cleak skies, no issues	LP 326-21	7:00:00		
2020/05/20 08:48:18 PM	Calar Alto	2020/05/20	"Clear night. 
It took 40 mins to find the primary target. From that, very good night."	LP388-55	5:00:00		
2020/05/21 08:29:32 PM	Calar Alto	2020/05/21	Very good conditions. Primary target has been observed the whole night.	LP388-55	6:00:00		
2020/05/22 08:40:54 PM	Calar Alto	2020/05/22	Very good weather conditions. Clear sky. New moon.	LP388-55	6:00:00		
2020/05/23 08:06:10 PM	Calar Alto	2020/05/23	We had thick clouds for ~30min, then bit cloudy the whole night.	LP388-55	3:30:00	None	0:00:00
2020/05/24 08:25:29 PM	Calar Alto	2020/05/24	Clear night.	LP388-55	5:00:00		
2020/05/24 09:29:03 PM	Schulman	2020/05/23	Clear night, but stalled some time near sunrise.	LP 326-21			
2020/05/25 08:19:12 PM	Calar Alto	2020/05/25	Weather conditions overall: Cloudy throughout most of the night. I stopped the science loop at 22:52 UT and after that was cloudy all the time until the end of the Astro night.	LP388-55	1:46:00		
2020/05/26 02:01:07 AM	Schulman	2020/05/24	Clear night, stopped early to try and avoid tracking errors.	LP 326-21	7:00:00		
2020/05/26 08:24:25 PM	Calar Alto	2020/05/26	Clear skies all night. Primary target was observed all night. Data (Images → MPIA_0035.fits to MPIA_0555.fits) looks like a bit saturated. 	LP388-55	6:00:00		
2020/05/27 09:32:25 PM	Calar Alto	2020/05/27	Clear skies all night. Primary target observed the whole night. Had to stop Science loop at some point to focus the telescope. 	LP388-55	3:10:00		
2020/05/28 05:22:53 PM	Lulin	2020/05/17	The observation started after 12:00UT with thin cloud passed. Sky was clear between 15:12 to 17:15 and after 19:25 UT.	LP_388-55	4:48:00	LP_326-21	0:57:00
2020/05/28 05:23:37 PM	Lulin	2020/05/18	cloudy and raing. no observation.				
2020/05/28 05:25:03 PM	Lulin	2020/05/19	cloudy and raining. no observation.				
2020/05/28 05:25:26 PM	Lulin	2020/05/19	cloudy and raining. no observation.				
2020/05/28 05:25:50 PM	Lulin	2020/05/20	cloudy and raining. no observation.				
2020/05/28 05:26:07 PM	Lulin	2020/05/21	cloudy and raining. no observation.				
2020/05/28 05:26:21 PM	Lulin	2020/05/22	cloudy and raining. no observation.				
2020/05/28 05:27:16 PM	Lulin	2020/05/23	cloudy and raining. no observation.				
2020/05/28 05:30:43 PM	Lulin	2020/05/24	Thin cloud passed between 18:10 to 19:33 UT.	LP_388-55	0:43:00		
2020/05/28 05:31:09 PM	Lulin	2020/05/25	No Eden target is observed. Only bias and flat are taken. Thin cloud passed between 14:53 to 15:17 UT.				
